SIMULATION_UUID,RESOURCE_PREPARE_TIME_MEAN,RESOURCE_PREPARE_TIME_STD,ARRIVAL_PATTERN,BROKER_TYPE,SET_RASPOREDA,USER_COUNT,MAX_AVAILABLE_RESOURCES,CRITICAL_UTILISATION_PERCENT,READY_COUNT,RESOURCE_ADD_NUMBER,INITIAL_WAVE_KNOWN,AVG_UTILIZATION,AVG_WAIT_TIME,TOTAL_SLA_BROKEN,FINAL_RESOURCE_COUNT
8cc3c51f-7270-4208-91a7-7e8ec639d2e8,10.0,0.2,1,1,4,120,30,0.4,10,5,True,45.8,0.0,0,20
573f6090-c293-4ab1-b404-3a3cc71133ce,20.0,0.2,2,1,2,100,30,0.5,20,10,True,70.7,10.8,44,30
69e586df-1d6c-4860-b703-b4c05d6323b3,30.0,0.2,2,1,3,130,40,0.3,15,10,False,80.4,47.8,240,39
65af446b-4fc1-4e63-bb7a-25aa0cfed1f7,10.0,0.2,3,1,4,100,20,0.5,15,5,True,65.5,6.6,64,18
f24cf9cf-c6c4-4f2b-b554-346a0ee583b4,20.0,0.2,3,1,5,120,40,0.7,10,5,False,47.1,10.2,76,40
12b88675-497d-46ab-a6be-61dd0f3f1946,30.0,0.2,2,1,6,110,35,0.8,10,5,True,91.4,35.1,172,31
0c8b382e-a750-42c6-8899-f6e72ac4debc,10.0,0.2,1,1,7,110,45,0.3,20,10,True,57.5,0.1,4,21
98600a8b-e33f-4480-b94c-40dd528732bb,20.0,0.2,2,1,3,100,35,0.2,10,5,False,89.2,18.4,128,25
03d3bcb3-09a8-41eb-85d5-f4f5ebb454aa,30.0,0.2,1,1,4,90,30,0.4,15,5,False,57.2,3.0,36,15
c90fc7eb-b5bf-4b8b-a6ca-135eca622f26,10.0,0.2,2,1,4,90,35,0.5,20,5,True,77.7,0.9,16,35
c59968cf-6caf-49fc-a927-b0f07be2f295,20.0,0.2,2,1,3,100,20,0.6,20,15,True,77.5,6.0,72,20
d03e668c-7a20-4a25-a15b-52596425e809,30.0,0.2,3,1,2,100,20,0.4,10,15,False,88.1,57.6,152,20
e896a094-97e3-4b5a-a0d6-d1a65b7f3211,10.0,0.2,3,1,1,110,25,0.4,15,5,False,71.2,6.7,48,17
64c5b078-0612-43f2-ad45-8a354a88d39a,20.0,0.2,3,1,3,120,35,0.3,20,10,True,61.6,0.6,16,20
335720f6-1fd1-424e-9ffb-9a341df2da08,30.0,0.2,3,1,5,120,35,0.2,10,5,True,62.5,3.5,56,19
d76047d7-1dc9-47e4-b44e-7baebd98953f,10.0,0.2,2,1,6,110,25,0.3,15,1,False,89.4,30.8,191,25
dd8374a5-d58d-4be9-b8f4-b2498ec08dce,20.0,0.2,2,1,0,110,35,0.2,5,10,True,94.5,37.9,216,35
0ee04626-ac4d-42d9-bcfa-9fc6e125ec41,30.0,0.2,1,1,4,100,40,0.6,20,1,True,47.4,0.0,0,20
b97e8beb-9a4b-48df-a90c-92845e4cdd8d,10.0,0.2,1,1,3,110,40,0.4,20,1,True,51.1,0.0,0,21
fccc0576-cc57-4f4a-925f-42b92facfd9f,20.0,0.2,3,1,2,90,40,0.5,15,5,True,74.4,4.9,44,22
